case_id,surveytime,module_end,scales_first,self_first,condition,sex_submit,sex_clicks,gender_submit,gender_clicks,firstord_submit,firstord_clicks,thirdord_submit,thirdord_clicks,natenviy,natcrimy,nateducy,natarmsy,natsci,natfarey,discaffm,posslqy,wrkstat_fulltime,wrkstat_parttime,wrkstat_notatwork,wrkstat_unemployed,wrkstat_retired,wrkstat_school,wrkstat_keephouse,wrkstat_other,wrkstat_other_text,weekswrk,fear_sa,fear_ipv,fear_aqnt,fear_strn,fear_murd,protect_alarm,protect_firearm,protect_knife,protect_mace,protect_taser,protect_whistle,protect_other,protect_other_text,protect_none,viol_throw,viol_push,viol_hit,viol_hitobj,viol_burn,viol_sa,viol_chokedrown,viol_knifegun,viol_stabshot,viol_none,perp_stranger,perp_school,perp_work,perp_neighbor,perp_friend,perp_relative,perp_lover,perp_partner,perp_other,perp_other_text,class,finalter,hispanic_binary,hispanic_detail,hispanic_other_text,white,black,amerind,asianind,chinese,filipino,japanese,korean,vietnamese,otherasian,hawaiian,guamcham,samoan,pacisland,otherrace,otherrace_text,discaff,marhomo,happy,health,mntlhlth,prtypref,prtypref_other_text,polviews,born,parborn,granborn,grade,diploma,coldegree,coldegree_type,earnrs,income06,dwelown,dwelown_other_text,cohort,firstord_fem,firstord_masc,thirdord_fem,thirdord_masc,sex,gender,gender_other_text,arrest,lockedup,rhhwork,famfinan,earnshh,cutahead,volchrty,givchrty,helpaway,carried,talkedto,hrdshp1,hrdshp4,hrdshp5,hrdshp7,partners,sexfreq,sexornt,sexsex18,cisgender,female,male,woman,man,gnlh,trans_direct,trans_indirect,polar1,polar3,crossgen1,crossgen3,notconven1,notconven3,married,fear_avg,protect_count,viol_count,race_count,race_detail,race_gss,goodhealth,health_3cat,educ,inc_cont,age,region_census,region_gss
14,521,yes,no,no,8,2.9289999,1,2.753,1,7.4120002,3,6.1950002,2,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,living with partner,no,no,no,no,no,no,no,yes,Disabled,0,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,yes,no,no,yes,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,lower class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,very likely,Strongly agree,Pretty happy,Fair,11,Democrat,,Slightly liberal,yes,yes,yes,12th,yes,no,,0,"$8,000-9,999",Paying rent,,1979,4,Not at all,5,1,Female,Woman,,no,no,15,Keep money separate,Spouse/partner has higher income,Not at all in past year,Not at all in past year,At least once in the past year,Not at all in past year,Not at all in past year,At least once a week,No,No,No,No,None,Not at all,Bisexual,"Some women, mostly men",yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,4,4,SR conforming,RA conforming,SR conforming,RA conforming,no,Not at all afraid,2,0,1,White,White,fair/poor,fair/poor,12,.89999998,35,East North Central,Midwest
15,465,no,yes,no,2,3.0350001,1,2.842,1,11.759,4,16.782,2,Spending too little,Spending too much,Spending the right amount,Spending the right amount,Spending too little,Spending too much,not very likely,married and living with spouse,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Neither agree nor disagree,Pretty happy,Good,0,Republican,,Conservative,yes,yes,yes,12th,yes,yes,Bachelor's,2,"$60,000-74,999",Own/buying,,1986,Not at all,4,Not at all,3,Male,Man,,no,no,6,Pool the money,I have a much higher income,At least once in the past year,At least once in the past year,At least once in the past year,Not at all in past year,At least once in the past year,At least once in the past year,No,No,No,No,1,About once a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,4,3,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,0,0,1,White,White,good/excellent,good,16,6.75,28,West North Central,Midwest
16,339,no,yes,yes,1,2.655,1,2.128,1,6.6160002,3,2.9790001,2,Spending the right amount,Spending too little,Spending too little,Spending too little,Spending too little,Spending too much,not very likely,married and living with spouse,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,1,Not at all afraid,no,yes,yes,no,no,yes,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,upper class,getting better,yes,Mexican,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Agree,Very happy,Good,0,Independent,,Conservative,yes,yes,no,12th,yes,yes,Bachelor's,1,"$90,000-109,999",Own/buying,,1980,2,4,2,4,Male,Man,,no,no,5,Pool the money,Spouse/partner has no income,At least once in the past year,Not at all in past year,At least once in the past year,At least once a month,At least once in the past year,Not at all in past year,No,No,No,No,1,2-3 times a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,2,2,SR conforming,RA conforming,SR conforming,RA conforming,yes,.2,3,0,1,White,White,good/excellent,good,16,10,34,East North Central,Midwest
17,524,no,no,no,4,2.5,2,2.177,1,3.648,2,4.7140002,3,Spending too little,Spending too little,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,living with partner,yes,no,no,no,no,no,yes,no,,48,1,Not at all afraid,Not at all afraid,2,2,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,lower class,getting better,yes,Other,Ecuadorian,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Good,1,Democrat,,Liberal,no,no,no,12th,yes,yes,Bachelor's,3,"$35,000-39,999",Paying rent,,1993,Very,Not at all,Very,Not at all,Female,Woman,,no,no,8,Pool the money,Spouse/partner has much higher income,At least once in the past year,Not at all in past year,At least once in the past year,Not at all in past year,Not at all in past year,Not at all in past year,No,No,No,No,1,4 or more times a week,Bisexual,Only women,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,no,1,0,0,1,White,White,good/excellent,good,16,3.75,21,Pacific,West
18,616,no,yes,yes,1,3.6070001,1,3.1719999,1,47.463001,2,10.346,2,Spending the right amount,Spending too little,Spending too little,Spending too much,Spending the right amount,Spending the right amount,not very likely,no partner,no,no,no,yes,no,no,no,no,,0,3,Not at all afraid,Not at all afraid,5,2,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,very likely,Agree,Not too happy,Fair,20,Independent,,Moderate,yes,yes,yes,12th,yes,no,,1,"$90,000-109,999",Paying rent,,1990,5,2,4,Not at all,Female,Woman,,no,no,1,,,At least once in the past year,At least once in the past year,At least once in the past year,At least once in the past year,At least once in the past year,At least once a month,N/A,No,No,No,None,Not at all,"Heterosexual, straight",None,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,3,4,SR conforming,RA conforming,SR conforming,RA conforming,no,2,0,0,1,White,White,fair/poor,fair/poor,12,10,24,East North Central,Midwest
19,511,no,yes,no,2,4.6300001,1,6.6459999,1,8.8129997,4,11.973,3,Spending too much,Spending too little,Spending the right amount,Spending too little,Spending the right amount,Spending the right amount,very likely,married and living with spouse,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Strongly disagree,Pretty happy,Fair,0,Republican,,Conservative,yes,yes,yes,12th,yes,no,,2,"$110,000-129,999",Own/buying,,1977,1,5,Not at all,Very,Male,Man,,no,no,40,Pool the money,I have a much higher income,At least once a month,At least once a week,At least once a month,Not at all in past year,Not at all in past year,At least once in the past year,No,Yes,Yes,No,1,About once a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,4,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,0,0,1,White,White,fair/poor,fair/poor,12,12,37,West North Central,Midwest
20,767,no,yes,no,2,3.283,1,4.0120001,1,5.1199999,2,7.5669999,2,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,no partner,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,yes,yes,yes,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Excellent,0,Democrat,,Slightly liberal,yes,yes,yes,12th,no,yes,Bachelor's,1,"$15,000-17,499",Own/buying,,1959,Not at all,Very,Not at all,Very,Male,Man,,no,no,2,,,Not at all in past year,Not at all in past year,At least once in the past year,Not at all in past year,Not at all in past year,At least once in the past year,N/A,Yes,Yes,No,5-10,2-3 times a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,no,Not at all afraid,3,0,1,Black/AfAm,Black,good/excellent,excellent,16,1.625,55,South Atlantic,South
21,373,no,no,no,4,2.8199999,1,2.2309999,1,5.8860002,2,7.8010001,3,Spending too little,Spending the right amount,Spending too little,Spending too much,Spending the right amount,Spending the right amount,somewhat likely,married and living with spouse,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,yes,yes,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Disagree,Very happy,Excellent,0,Republican,,Conservative,yes,yes,yes,12th,yes,yes,Bachelor's,2,"$60,000-74,999",Own/buying,,1982,2,4,2,4,Female,Woman,,no,no,5,Pool the money,We have about the same income,At least once in the past year,Not at all in past year,At least once in the past year,Not at all in past year,At least once in the past year,At least once a month,No,No,No,No,1,2-3 times a week,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,2,2,SR nonconforming,RA nonconforming,SR nonconforming,RA nonconforming,yes,Not at all afraid,2,0,1,White,White,good/excellent,excellent,16,6.75,32,East North Central,Midwest
22,621,no,yes,yes,1,5.1090002,1,4.6500001,1,12.017,2,9.1370001,3,Spending too little,Spending too little,Spending too little,Spending too much,Spending too much,Spending too little,not very likely,not living with spouse/partner,yes,no,no,no,no,no,yes,no,,48,1,1,1,1,1,no,yes,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Disagree,Pretty happy,Good,0,Republican,,Slightly conservative,yes,yes,yes,12th,yes,yes,Bachelor's,1,"$50,000-59,999",Own/buying,,1975,4,1,4,1,Female,Woman,,no,no,7,Keep money separate,We have about the same income,At least once a month,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,At least once a month,No,No,No,No,1,About once a week,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,3,3,SR conforming,RA conforming,SR conforming,RA conforming,no,1,1,0,1,White,White,good/excellent,good,16,5.5,39,South Atlantic,South
23,615,yes,no,no,8,6.053,1,4.026,1,8.9099998,2,11.163,2,Spending too much,Spending too little,Spending too much,Spending the right amount,Spending the right amount,Spending too little,somewhat likely,married and living with spouse,yes,no,no,no,no,no,no,no,,40,5,3,Very afraid,4,4,no,no,no,yes,no,yes,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,no,Not Hispanic,,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,...,very likely,Agree,Pretty happy,Good,2,Democrat,,Conservative,no,no,no,1st,no,yes,Bachelor's,2,"$75,000-89,999",Paying rent,,1987,3,2,3,2,Female,Woman,,no,no,6,Pool the money,I have a higher income,Not at all in past year,At least once in the past year,At least once a month,At least once in the past year,Not at all in past year,At least once in the past year,No,No,No,No,1,4 or more times a week,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,1,1,SR conforming,RA conforming,SR conforming,RA conforming,yes,4.4000001,2,0,1,Asian Indian,Another race(s),good/excellent,good,16,8.25,27,Mountain,West
25,291,no,no,no,4,2.645,1,2.2260001,1,3.013,2,6.3330002,2,Spending too little,Spending the right amount,Spending too little,Spending the right amount,Spending too little,Spending the right amount,not very likely,married and living with spouse,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,yes,yes,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Strongly agree,Pretty happy,Good,0,Democrat,,Slightly liberal,yes,yes,no,12th,yes,yes,Graduate or Professional,1,"$60,000-74,999",Paying rent,,1983,Not at all,Very,Not at all,Very,Male,Man,,no,no,7,Pool the money,I have a much higher income,At least once in the past year,At least once in the past year,At least once in the past year,At least once in the past year,Not at all in past year,At least once in the past year,No,No,No,No,1,2-3 times a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,2,0,1,White,White,good/excellent,good,20,6.75,31,Pacific,West
